Cenario;Provedor;Selecao
FLAT;Rackspace;0.249797
FLAT;Microsoft Azure;0.249356
FLAT;Amazon AWS;0.254644
FLAT;Google Cloud;0.246204
FLAT;Rackspace;0.250388
FLAT;Microsoft Azure;0.249638
FLAT;Amazon AWS;0.251634
FLAT;Google Cloud;0.248341
FLAT;Rackspace;0.250911
FLAT;Microsoft Azure;0.248184
FLAT;Amazon AWS;0.254862
FLAT;Google Cloud;0.246044
FLAT;Rackspace;0.24981
FLAT;Microsoft Azure;0.251351
FLAT;Amazon AWS;0.248251
FLAT;Google Cloud;0.250588
FLAT;Rackspace;0.249452
FLAT;Microsoft Azure;0.249416
FLAT;Amazon AWS;0.254345
FLAT;Google Cloud;0.246786
FLAT;Rackspace;0.250247
FLAT;Microsoft Azure;0.249098
FLAT;Amazon AWS;0.253606
FLAT;Google Cloud;0.24705
FLAT;Rackspace;0.2495
FLAT;Microsoft Azure;0.252103
FLAT;Amazon AWS;0.247046
FLAT;Google Cloud;0.251351
FLAT;Rackspace;0.24831
FLAT;Microsoft Azure;0.252989
FLAT;Amazon AWS;0.247823
FLAT;Google Cloud;0.250878
FLAT;Rackspace;0.24648
FLAT;Microsoft Azure;0.258296
FLAT;Amazon AWS;0.238436
FLAT;Google Cloud;0.256788
FLAT;Rackspace;0.249396
FLAT;Microsoft Azure;0.250485
FLAT;Amazon AWS;0.252167
FLAT;Google Cloud;0.247952
FLAT;Rackspace;0.249508
FLAT;Microsoft Azure;0.250797
FLAT;Amazon AWS;0.250338
FLAT;Google Cloud;0.249357
FLAT;Rackspace;0.247672
FLAT;Microsoft Azure;0.258133
FLAT;Amazon AWS;0.236261
FLAT;Google Cloud;0.257935
FLAT;Rackspace;0.249743
FLAT;Microsoft Azure;0.255469
FLAT;Amazon AWS;0.23843
FLAT;Google Cloud;0.256358
FLAT;Rackspace;0.250415
FLAT;Microsoft Azure;0.250854
FLAT;Amazon AWS;0.248571
FLAT;Google Cloud;0.250159
FLAT;Rackspace;0.24499
FLAT;Microsoft Azure;0.260316
FLAT;Amazon AWS;0.23751
FLAT;Google Cloud;0.257185
FLAT;Rackspace;0.250231
FLAT;Microsoft Azure;0.24952
FLAT;Amazon AWS;0.252577
FLAT;Google Cloud;0.247672
FLAT;Rackspace;0.250991
FLAT;Microsoft Azure;0.249652
FLAT;Amazon AWS;0.252838
FLAT;Google Cloud;0.246519
FLAT;Rackspace;0.250363
FLAT;Microsoft Azure;0.249955
FLAT;Amazon AWS;0.250723
FLAT;Google Cloud;0.248958
FLAT;Rackspace;0.249363
FLAT;Microsoft Azure;0.249484
FLAT;Amazon AWS;0.254179
FLAT;Google Cloud;0.246974
FLAT;Rackspace;0.250979
FLAT;Microsoft Azure;0.248751
FLAT;Amazon AWS;0.25266
FLAT;Google Cloud;0.24761
FLAT;Rackspace;0.250299
FLAT;Microsoft Azure;0.24917
FLAT;Amazon AWS;0.253503
FLAT;Google Cloud;0.247028
FLAT;Rackspace;0.249949
FLAT;Microsoft Azure;0.249581
FLAT;Amazon AWS;0.2529
FLAT;Google Cloud;0.24757
FLAT;Rackspace;0.250222
FLAT;Microsoft Azure;0.249787
FLAT;Amazon AWS;0.251527
FLAT;Google Cloud;0.248464
FLAT;Rackspace;0.248477
FLAT;Microsoft Azure;0.250774
FLAT;Amazon AWS;0.25273
FLAT;Google Cloud;0.248018
FLAT;Rackspace;0.250927
FLAT;Microsoft Azure;0.248658
FLAT;Amazon AWS;0.25348
FLAT;Google Cloud;0.246934
FLAT;Rackspace;0.249795
FLAT;Microsoft Azure;0.24987
FLAT;Amazon AWS;0.252272
FLAT;Google Cloud;0.248062
FLAT;Rackspace;0.248421
FLAT;Microsoft Azure;0.253249
FLAT;Amazon AWS;0.246241
FLAT;Google Cloud;0.252089
FLAT;Rackspace;0.250513
FLAT;Microsoft Azure;0.248524
FLAT;Amazon AWS;0.254753
FLAT;Google Cloud;0.24621
FLAT;Rackspace;0.248767
FLAT;Microsoft Azure;0.251192
FLAT;Amazon AWS;0.252054
FLAT;Google Cloud;0.247987
FLAT;Rackspace;0.250848
FLAT;Microsoft Azure;0.24886
FLAT;Amazon AWS;0.252586
FLAT;Google Cloud;0.247706
FLAT;Rackspace;0.24975
FLAT;Microsoft Azure;0.249866
FLAT;Amazon AWS;0.252995
FLAT;Google Cloud;0.247389
FLAT;Rackspace;0.246353
FLAT;Microsoft Azure;0.260119
FLAT;Amazon AWS;0.23268
FLAT;Google Cloud;0.260848
FLAT;Rackspace;0.249854
FLAT;Microsoft Azure;0.250173
FLAT;Amazon AWS;0.251689
FLAT;Google Cloud;0.248284
FLAT;Rackspace;0.249384
FLAT;Microsoft Azure;0.252739
FLAT;Amazon AWS;0.246038
FLAT;Google Cloud;0.251839
FLAT;Rackspace;0.249908
FLAT;Microsoft Azure;0.251014
FLAT;Amazon AWS;0.249752
FLAT;Google Cloud;0.249326
FLAT;Rackspace;0.249288
FLAT;Microsoft Azure;0.252125
FLAT;Amazon AWS;0.248064
FLAT;Google Cloud;0.250523
FLAT;Rackspace;0.249518
FLAT;Microsoft Azure;0.252876
FLAT;Amazon AWS;0.245375
FLAT;Google Cloud;0.252231
FLAT;Rackspace;0.249521
FLAT;Microsoft Azure;0.25035
FLAT;Amazon AWS;0.252312
FLAT;Google Cloud;0.247817
FLAT;Rackspace;0.246903
FLAT;Microsoft Azure;0.257947
FLAT;Amazon AWS;0.239339
FLAT;Google Cloud;0.25581
FLAT;Rackspace;0.24806
FLAT;Microsoft Azure;0.254369
FLAT;Amazon AWS;0.245725
FLAT;Google Cloud;0.251847
FLAT;Rackspace;0.249085
FLAT;Microsoft Azure;0.25451
FLAT;Amazon AWS;0.242102
FLAT;Google Cloud;0.254303
FLAT;Rackspace;0.249507
FLAT;Microsoft Azure;0.249622
FLAT;Amazon AWS;0.25353
FLAT;Google Cloud;0.247342
FLAT;Rackspace;0.249253
FLAT;Microsoft Azure;0.250829
FLAT;Amazon AWS;0.251684
FLAT;Google Cloud;0.248233
FLAT;Rackspace;0.249345
FLAT;Microsoft Azure;0.251835
FLAT;Amazon AWS;0.248306
FLAT;Google Cloud;0.250514
FLAT;Rackspace;0.250026
FLAT;Microsoft Azure;0.251161
FLAT;Amazon AWS;0.249623
FLAT;Google Cloud;0.24919
FLAT;Rackspace;0.249144
FLAT;Microsoft Azure;0.257342
FLAT;Amazon AWS;0.233995
FLAT;Google Cloud;0.259519
FLAT;Rackspace;0.250013
FLAT;Microsoft Azure;0.249218
FLAT;Amazon AWS;0.253613
FLAT;Google Cloud;0.247157
FLAT;Rackspace;0.25075
FLAT;Microsoft Azure;0.248021
FLAT;Amazon AWS;0.255179
FLAT;Google Cloud;0.24605
FLAT;Rackspace;0.250205
FLAT;Microsoft Azure;0.249503
FLAT;Amazon AWS;0.252886
FLAT;Google Cloud;0.247406
FLAT;Rackspace;0.249115
FLAT;Microsoft Azure;0.251377
FLAT;Amazon AWS;0.25004
FLAT;Google Cloud;0.249468
FLAT;Rackspace;0.251057
FLAT;Microsoft Azure;0.247935
FLAT;Amazon AWS;0.254806
FLAT;Google Cloud;0.246202
FLAT;Rackspace;0.250163
FLAT;Microsoft Azure;0.249167
FLAT;Amazon AWS;0.25364
FLAT;Google Cloud;0.247031
FLAT;Rackspace;0.247965
FLAT;Microsoft Azure;0.253635
FLAT;Amazon AWS;0.247658
FLAT;Google Cloud;0.250742
FLAT;Rackspace;0.250798
FLAT;Microsoft Azure;0.249439
FLAT;Amazon AWS;0.251518
FLAT;Google Cloud;0.248245
FLAT;Rackspace;0.247977
FLAT;Microsoft Azure;0.25418
FLAT;Amazon AWS;0.247057
FLAT;Google Cloud;0.250787
FLAT;Rackspace;0.25106
FLAT;Microsoft Azure;0.248453
FLAT;Amazon AWS;0.253688
FLAT;Google Cloud;0.2468
FLAT;Rackspace;0.24594
FLAT;Microsoft Azure;0.258972
FLAT;Amazon AWS;0.238541
FLAT;Google Cloud;0.256548
FLAT;Rackspace;0.250149
FLAT;Microsoft Azure;0.250112
FLAT;Amazon AWS;0.250939
FLAT;Google Cloud;0.2488
FLAT;Rackspace;0.250635
FLAT;Microsoft Azure;0.249724
FLAT;Amazon AWS;0.250779
FLAT;Google Cloud;0.248862
FLAT;Rackspace;0.250219
FLAT;Microsoft Azure;0.248942
FLAT;Amazon AWS;0.253794
FLAT;Google Cloud;0.247045
FLAT;Rackspace;0.249976
FLAT;Microsoft Azure;0.250193
FLAT;Amazon AWS;0.251094
FLAT;Google Cloud;0.248736
FLAT;Rackspace;0.250681
FLAT;Microsoft Azure;0.249584
FLAT;Amazon AWS;0.251553
FLAT;Google Cloud;0.248182
FLAT;Rackspace;0.250746
FLAT;Microsoft Azure;0.249584
FLAT;Amazon AWS;0.251465
FLAT;Google Cloud;0.248204
FLAT;Rackspace;0.250761
FLAT;Microsoft Azure;0.249678
FLAT;Amazon AWS;0.250975
FLAT;Google Cloud;0.248586
FLAT;Rackspace;0.249998
FLAT;Microsoft Azure;0.252731
FLAT;Amazon AWS;0.245437
FLAT;Google Cloud;0.251835
FLAT;Rackspace;0.250897
FLAT;Microsoft Azure;0.248787
FLAT;Amazon AWS;0.254299
FLAT;Google Cloud;0.246017
FLAT;Rackspace;0.249953
FLAT;Microsoft Azure;0.249216
FLAT;Amazon AWS;0.254346
FLAT;Google Cloud;0.246485
FLAT;Rackspace;0.24924
FLAT;Microsoft Azure;0.251407
FLAT;Amazon AWS;0.25
FLAT;Google Cloud;0.249353
FLAT;Rackspace;0.25028
FLAT;Microsoft Azure;0.250179
FLAT;Amazon AWS;0.250314
FLAT;Google Cloud;0.249227
FLAT;Rackspace;0.249931
FLAT;Microsoft Azure;0.248833
FLAT;Amazon AWS;0.25496
FLAT;Google Cloud;0.246276
FLAT;Rackspace;0.250179
FLAT;Microsoft Azure;0.249222
FLAT;Amazon AWS;0.253699
FLAT;Google Cloud;0.2469
FLAT;Rackspace;0.246436
FLAT;Microsoft Azure;0.253851
FLAT;Amazon AWS;0.251291
FLAT;Google Cloud;0.248422
FLAT;Rackspace;0.250543
FLAT;Microsoft Azure;0.250741
FLAT;Amazon AWS;0.249552
FLAT;Google Cloud;0.249164
FLAT;Rackspace;0.250289
FLAT;Microsoft Azure;0.248888
FLAT;Amazon AWS;0.254085
FLAT;Google Cloud;0.246738
FLAT;Rackspace;0.249738
FLAT;Microsoft Azure;0.25054
FLAT;Amazon AWS;0.251364
FLAT;Google Cloud;0.248358
FLAT;Rackspace;0.250216
FLAT;Microsoft Azure;0.251417
FLAT;Amazon AWS;0.248078
FLAT;Google Cloud;0.250289
FLAT;Rackspace;0.248764
FLAT;Microsoft Azure;0.251701
FLAT;Amazon AWS;0.249871
FLAT;Google Cloud;0.249664
FLAT;Rackspace;0.250413
FLAT;Microsoft Azure;0.24969
FLAT;Amazon AWS;0.251846
FLAT;Google Cloud;0.248051
FLAT;Rackspace;0.250799
FLAT;Microsoft Azure;0.248226
FLAT;Amazon AWS;0.254555
FLAT;Google Cloud;0.24642
FLAT;Rackspace;0.248826
FLAT;Microsoft Azure;0.250564
FLAT;Amazon AWS;0.253385
FLAT;Google Cloud;0.247225
FLAT;Rackspace;0.250864
FLAT;Microsoft Azure;0.249249
FLAT;Amazon AWS;0.251923
FLAT;Google Cloud;0.247964
FLAT;Rackspace;0.249116
FLAT;Microsoft Azure;0.256438
FLAT;Amazon AWS;0.238973
FLAT;Google Cloud;0.255473
FLAT;Rackspace;0.249938
FLAT;Microsoft Azure;0.249979
FLAT;Amazon AWS;0.252062
FLAT;Google Cloud;0.248021
FLAT;Rackspace;0.250894
FLAT;Microsoft Azure;0.249251
FLAT;Amazon AWS;0.251753
FLAT;Google Cloud;0.248102
FLAT;Rackspace;0.250782
FLAT;Microsoft Azure;0.248236
FLAT;Amazon AWS;0.254428
FLAT;Google Cloud;0.246554
FLAT;Rackspace;0.249568
FLAT;Microsoft Azure;0.252981
